"","year","Mes","day","Hora","O3_Horario","O3_8H","NO2","CO_8H","SO2_24H","PM_10","PM_2.5"
"1",2021,1,1,"00:00",NA,NA,NA,NA,NA,NA,NA
"2",2021,1,1,"01:00",NA,NA,NA,NA,NA,NA,NA
"3",2021,1,1,"02:00",NA,NA,NA,NA,NA,NA,NA
"4",2021,1,1,"03:00",NA,NA,NA,NA,NA,NA,NA
"5",2021,1,1,"04:00",NA,NA,NA,NA,NA,NA,NA
"6",2021,1,1,"05:00",NA,NA,NA,NA,NA,NA,NA
"7",2021,1,1,"06:00",NA,NA,NA,NA,NA,NA,NA
"8",2021,1,1,"07:00",NA,NA,NA,NA,NA,NA,NA
"9",2021,1,1,"08:00",NA,NA,NA,NA,NA,NA,NA
"10",2021,1,1,"09:00",NA,NA,NA,NA,NA,NA,NA
"11",2021,1,1,"10:00",NA,NA,NA,NA,NA,NA,NA
"12",2021,1,1,"11:00",NA,NA,NA,NA,NA,NA,NA
"13",2021,1,1,"12:00",NA,NA,NA,NA,NA,NA,NA
"14",2021,1,1,"13:00",NA,NA,NA,NA,NA,NA,NA
"15",2021,1,1,"14:00",NA,NA,NA,NA,NA,NA,NA
"16",2021,1,1,"15:00",NA,NA,NA,NA,NA,NA,NA
"17",2021,1,1,"16:00",NA,NA,NA,NA,NA,NA,NA
"18",2021,1,1,"17:00",NA,NA,NA,NA,NA,NA,NA
"19",2021,1,1,"18:00",NA,NA,NA,NA,NA,NA,NA
"20",2021,1,1,"19:00",NA,NA,NA,NA,NA,NA,NA
"21",2021,1,1,"20:00",NA,NA,NA,NA,NA,NA,NA
"22",2021,1,1,"21:00",NA,NA,NA,NA,NA,NA,NA
"23",2021,1,1,"22:00",NA,NA,NA,NA,NA,NA,NA
"24",2021,1,1,"23:00",NA,NA,NA,NA,NA,NA,NA
"25",2021,1,2,"00:00",NA,NA,NA,NA,NA,NA,NA
"26",2021,1,2,"01:00",NA,NA,NA,NA,NA,NA,NA
"27",2021,1,2,"02:00",NA,NA,NA,NA,NA,NA,NA
"28",2021,1,2,"03:00",NA,NA,NA,NA,NA,NA,NA
"29",2021,1,2,"04:00",NA,NA,NA,NA,NA,NA,NA
"30",2021,1,2,"05:00",NA,NA,NA,NA,NA,NA,NA
"31",2021,1,2,"06:00",NA,NA,NA,NA,NA,NA,NA
"32",2021,1,2,"07:00",NA,NA,NA,NA,NA,NA,NA
"33",2021,1,2,"08:00",NA,NA,NA,NA,NA,NA,NA
"34",2021,1,2,"09:00",NA,NA,NA,NA,NA,NA,NA
"35",2021,1,2,"10:00",NA,NA,NA,NA,NA,NA,NA
"36",2021,1,2,"11:00",NA,NA,NA,NA,NA,NA,NA
"37",2021,1,2,"12:00",NA,NA,NA,NA,NA,NA,NA
"38",2021,1,2,"13:00",NA,NA,NA,NA,NA,NA,NA
"39",2021,1,2,"14:00",NA,NA,NA,NA,NA,NA,NA
"40",2021,1,2,"15:00",NA,NA,NA,NA,NA,NA,NA
"41",2021,1,2,"16:00",NA,NA,NA,NA,NA,NA,NA
"42",2021,1,2,"17:00",NA,NA,NA,NA,NA,NA,NA
"43",2021,1,2,"18:00",NA,NA,NA,NA,NA,NA,NA
"44",2021,1,2,"19:00",NA,NA,NA,NA,NA,NA,NA
"45",2021,1,2,"20:00",NA,NA,NA,NA,NA,NA,NA
"46",2021,1,2,"21:00",NA,NA,NA,NA,NA,NA,NA
"47",2021,1,2,"22:00",NA,NA,NA,NA,NA,NA,NA
"48",2021,1,2,"23:00",NA,NA,NA,NA,NA,NA,NA
"49",2021,1,3,"00:00",NA,NA,NA,NA,NA,NA,NA
"50",2021,1,3,"01:00",NA,NA,NA,NA,NA,NA,NA
"51",2021,1,3,"02:00",NA,NA,NA,NA,NA,NA,NA
"52",2021,1,3,"03:00",NA,NA,NA,NA,NA,NA,NA
"53",2021,1,3,"04:00",NA,NA,NA,NA,NA,NA,NA
"54",2021,1,3,"05:00",NA,NA,NA,NA,NA,NA,NA
"55",2021,1,3,"06:00",NA,NA,NA,NA,NA,NA,NA
"56",2021,1,3,"07:00",NA,NA,NA,NA,NA,NA,NA
"57",2021,1,3,"08:00",NA,NA,NA,NA,NA,NA,NA
"58",2021,1,3,"09:00",NA,NA,NA,NA,NA,NA,NA
"59",2021,1,3,"10:00",NA,NA,NA,NA,NA,NA,NA
"60",2021,1,3,"11:00",NA,NA,NA,NA,NA,NA,NA
"61",2021,1,3,"12:00",NA,NA,NA,NA,NA,NA,NA
"62",2021,1,3,"13:00",NA,NA,NA,NA,NA,NA,NA
"63",2021,1,3,"14:00",NA,NA,NA,NA,NA,NA,NA
"64",2021,1,3,"15:00",NA,NA,NA,NA,NA,NA,NA
"65",2021,1,3,"16:00",NA,NA,NA,NA,NA,NA,NA
"66",2021,1,3,"17:00",NA,NA,NA,NA,NA,NA,NA
"67",2021,1,3,"18:00",NA,NA,NA,NA,NA,NA,NA
"68",2021,1,3,"19:00",NA,NA,NA,NA,NA,NA,NA
"69",2021,1,3,"20:00",NA,NA,NA,NA,NA,NA,NA
"70",2021,1,3,"21:00",NA,NA,NA,NA,NA,NA,NA
"71",2021,1,3,"22:00",NA,NA,NA,NA,NA,NA,NA
"72",2021,1,3,"23:00",NA,NA,NA,NA,NA,NA,NA
"73",2021,1,4,"00:00",NA,NA,NA,NA,NA,NA,NA
"74",2021,1,4,"01:00",NA,NA,NA,NA,NA,NA,NA
"75",2021,1,4,"02:00",NA,NA,NA,NA,NA,NA,NA
"76",2021,1,4,"03:00",NA,NA,NA,NA,NA,NA,NA
"77",2021,1,4,"04:00",NA,NA,NA,NA,NA,NA,NA
"78",2021,1,4,"05:00",NA,NA,NA,NA,NA,NA,NA
"79",2021,1,4,"06:00",NA,NA,NA,NA,NA,NA,NA
"80",2021,1,4,"07:00",NA,NA,NA,NA,NA,NA,NA
"81",2021,1,4,"08:00",NA,NA,NA,NA,NA,NA,NA
"82",2021,1,4,"09:00",NA,NA,NA,NA,NA,NA,NA
"83",2021,1,4,"10:00",NA,NA,NA,NA,NA,NA,NA
"84",2021,1,4,"11:00",NA,NA,NA,NA,NA,NA,NA
"85",2021,1,4,"12:00",NA,NA,NA,NA,NA,NA,NA
"86",2021,1,4,"13:00",NA,NA,NA,NA,NA,NA,NA
"87",2021,1,4,"14:00",NA,NA,NA,NA,NA,NA,NA
"88",2021,1,4,"15:00",NA,NA,NA,NA,NA,NA,NA
"89",2021,1,4,"16:00",NA,NA,NA,NA,NA,NA,NA
"90",2021,1,4,"17:00",NA,NA,NA,NA,NA,NA,NA
"91",2021,1,4,"18:00",NA,NA,NA,NA,NA,NA,NA
"92",2021,1,4,"19:00",NA,NA,NA,NA,NA,NA,NA
"93",2021,1,4,"20:00",NA,NA,NA,NA,NA,NA,NA
"94",2021,1,4,"21:00",NA,NA,NA,NA,NA,NA,NA
"95",2021,1,4,"22:00",NA,NA,NA,NA,NA,NA,NA
"96",2021,1,4,"23:00",NA,NA,NA,NA,NA,NA,NA
"97",2021,1,5,"00:00",NA,NA,NA,NA,NA,NA,NA
"98",2021,1,5,"01:00",NA,NA,NA,NA,NA,NA,NA
"99",2021,1,5,"02:00",NA,NA,NA,NA,NA,NA,NA
"100",2021,1,5,"03:00",NA,NA,NA,NA,NA,NA,NA
"101",2021,1,5,"04:00",NA,NA,NA,NA,NA,NA,NA
"102",2021,1,5,"05:00",NA,NA,NA,NA,NA,NA,NA
"103",2021,1,5,"06:00",NA,NA,NA,NA,NA,NA,NA
"104",2021,1,5,"07:00",NA,NA,NA,NA,NA,NA,NA
"105",2021,1,5,"08:00",NA,NA,NA,NA,NA,NA,NA
"106",2021,1,5,"09:00",NA,NA,NA,NA,NA,NA,NA
"107",2021,1,5,"10:00",NA,NA,NA,NA,NA,NA,NA
"108",2021,1,5,"11:00",NA,NA,NA,NA,NA,NA,NA
"109",2021,1,5,"12:00",NA,NA,NA,NA,NA,NA,NA
"110",2021,1,5,"13:00",NA,NA,NA,NA,NA,NA,NA
"111",2021,1,5,"14:00",NA,NA,NA,NA,NA,NA,NA
"112",2021,1,5,"15:00",NA,NA,NA,NA,NA,NA,NA
"113",2021,1,5,"16:00",NA,NA,NA,NA,NA,NA,NA
"114",2021,1,5,"17:00",0.048,NA,0.006,NA,NA,NA,NA
"115",2021,1,5,"18:00",0.047,NA,0.008,NA,NA,NA,NA
"116",2021,1,5,"19:00",0.028,NA,0.022,NA,NA,NA,NA
"117",2021,1,5,"20:00",0.022,NA,0.02,NA,NA,NA,NA
"118",2021,1,5,"21:00",0.018,NA,0.023,NA,NA,NA,NA
"119",2021,1,5,"22:00",0.018,0.03,0.02,1.44,NA,NA,NA
"120",2021,1,5,"23:00",0.018,0.028,0.017,1.46,NA,NA,NA
"121",2021,1,6,"00:00",0.022,0.028,0.013,1.46,NA,NA,NA
"122",2021,1,6,"01:00",0.016,0.024,0.018,1.48,NA,NA,NA
"123",2021,1,6,"02:00",NA,0.02,NA,1.5,NA,NA,NA
"124",2021,1,6,"03:00",NA,0.019,NA,1.52,NA,NA,NA
"125",2021,1,6,"04:00",NA,NA,NA,NA,NA,NA,NA
"126",2021,1,6,"05:00",NA,NA,NA,NA,NA,NA,NA
"127",2021,1,6,"06:00",NA,NA,NA,NA,NA,NA,NA
"128",2021,1,6,"07:00",NA,NA,NA,NA,NA,NA,NA
"129",2021,1,6,"08:00",NA,NA,NA,NA,NA,NA,NA
"130",2021,1,6,"09:00",NA,NA,NA,NA,NA,NA,NA
"131",2021,1,6,"10:00",0.013,NA,0.024,NA,NA,NA,NA
"132",2021,1,6,"11:00",0.027,NA,0.018,NA,NA,NA,NA
"133",2021,1,6,"12:00",NA,NA,NA,NA,NA,NA,NA
"134",2021,1,6,"13:00",0.05,NA,0.007,NA,NA,NA,NA
"135",2021,1,6,"14:00",0.052,NA,0.004,NA,NA,NA,NA
"136",2021,1,6,"15:00",0.051,NA,0.004,NA,NA,NA,NA
"137",2021,1,6,"16:00",NA,NA,NA,NA,NA,NA,NA
"138",2021,1,6,"17:00",0.046,0.04,0.005,1.54,NA,NA,NA
"139",2021,1,6,"18:00",0.042,0.045,0.006,1.46,NA,35,NA
