Fecha,Horas,O3 horario (ppm),O3 8 hrs (ppm),NO2 horario (ppm),CO 8 hrs (ppm),SO2 24 hrs (ppm),PM-10 12 hrs (µg/m3),PM-2.5 12 hrs (µg/m3)
2020-05-05,00:00,0.031,0.049,0.015,1.88,F.O.,F.O.,F.O.
2020-05-05,01:00,0.031,0.044,0.014,1.87,F.O.,F.O.,F.O.
2020-05-05,02:00,0.029,0.039,0.015,1.86,F.O.,F.O.,F.O.
2020-05-05,03:00,0.025,0.034,0.017,1.85,F.O.,F.O.,F.O.
2020-05-05,04:00,0.029,0.031,0.013,1.83,F.O.,F.O.,F.O.
2020-05-05,05:00,0.023,0.030,0.015,1.82,F.O.,F.O.,F.O.
2020-05-05,06:00,0.016,0.028,0.017,1.80,F.O.,F.O.,F.O.
2020-05-05,07:00,0.014,0.025,0.020,1.81,F.O.,F.O.,F.O.
2020-05-05,08:00,0.005,0.022,0.027,1.84,F.O.,F.O.,F.O.
2020-05-05,09:00,0.007,0.019,0.028,1.90,F.O.,F.O.,F.O.
2020-05-05,10:00,0.018,0.017,0.026,1.95,F.O.,F.O.,F.O.
2020-05-05,11:00,0.040,0.019,0.018,1.98,F.O.,F.O.,F.O.
2020-05-05,12:00,0.060,0.023,0.014,2.01,F.O.,F.O.,F.O.
2020-05-05,13:00,0.072,0.029,0.013,2.03,F.O.,F.O.,F.O.
2020-05-05,14:00,0.075,0.036,0.012,2.05,F.O.,F.O.,F.O.
2020-05-05,15:00,0.084,0.045,0.012,2.05,F.O.,F.O.,F.O.
2020-05-05,16:00,0.078,0.054,0.012,2.03,F.O.,F.O.,F.O.
2020-05-05,17:00,0.067,0.062,0.013,1.99,F.O.,F.O.,F.O.
2020-05-05,18:00,0.066,0.068,0.014,1.97,F.O.,F.O.,F.O.
2020-05-05,19:00,0.055,0.070,0.012,1.94,F.O.,F.O.,F.O.
2020-05-05,20:00,0.031,0.066,0.018,1.93,F.O.,F.O.,F.O.
2020-05-05,21:00,0.029,0.061,0.016,1.91,F.O.,F.O.,F.O.
2020-05-05,22:00,0.026,0.055,0.016,1.90,F.O.,F.O.,F.O.
2020-05-05,23:00,0.025,0.047,0.015,1.88,F.O.,F.O.,F.O.
