Fecha,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01-01-2023,00:00,2,10,8,4,Mtto,54
01-01-2023,01:00,2,10,10,4,Mtto,63
01-01-2023,02:00,2,10,11,4,Mtto,66
01-01-2023,03:00,2,9,12,4,Mtto,69
01-01-2023,04:00,4,10,13,4,Mtto,75
01-01-2023,05:00,3,9,13,4,Mtto,88
01-01-2023,06:00,3,8,13,4,Mtto,90
01-01-2023,07:00,2,8,12,4,Mtto,91
01-01-2023,08:00,3,7,10,4,Mtto,93
01-01-2023,09:00,7,6,9,4,Mtto,96
01-01-2023,10:00,16,5,9,4,Mtto,96
01-01-2023,11:00,24,3,8,4,Mtto,D.I.
01-01-2023,12:00,29,2,6,4,Mtto,D.I.
01-01-2023,13:00,29,1,5,4,Mtto,D.I.
01-01-2023,14:00,27,1,3,4,Mtto,D.I.
01-01-2023,15:00,26,1,2,4,Mtto,D.I.
01-01-2023,16:00,26,1,2,4,Mtto,D.I.
01-01-2023,17:00,25,1,1,4,Mtto,D.I.
01-01-2023,18:00,21,2,1,4,Mtto,D.I.
01-01-2023,19:00,16,5,0,4,Mtto,D.I.
01-01-2023,20:00,10,8,1,4,Mtto,D.I.
01-01-2023,21:00,5,11,1,4,Mtto,D.I.
01-01-2023,22:00,2,12,3,4,Mtto,D.I.
01-01-2023,23:00,2,11,4,4,Mtto,D.I.
02-01-2023,00:00,2,10,6,4,Mtto,D.I.
02-01-2023,01:00,2,10,5,4,Mtto,D.I.
02-01-2023,02:00,2,10,5,4,Mtto,D.I.
02-01-2023,03:00,2,10,6,4,Mtto,D.I.
02-01-2023,04:00,2,9,6,4,Mtto,D.I.
02-01-2023,05:00,2,8,6,4,Mtto,D.I.
02-01-2023,06:00,2,8,5,4,Mtto,D.I.
02-01-2023,07:00,2,8,4,4,Mtto,D.I.
02-01-2023,08:00,2,9,4,4,Mtto,D.I.
02-01-2023,09:00,3,11,5,4,Mtto,D.I.
02-01-2023,10:00,9,11,6,4,Mtto,D.I.
02-01-2023,11:00,20,4,5,4,Mtto,D.I.
