Fecha,Horas,O3 horario (ppm),O3 8 hrs (ppm),NO2 horario (ppm),CO 8 hrs (ppm),SO2 24 hrs (ppm),PM-10 12 hrs (µg/m3),PM-2.5 12 hrs (µg/m3)
2022-01-01,00:00,0.003,0.018,0.031,F.O.,0.002,150,67
2022-01-01,01:00,0.005,0.012,0.027,F.O.,0.002,168,75
2022-01-01,02:00,0.006,0.008,0.024,F.O.,0.002,188,104
2022-01-01,03:00,0.005,0.006,0.027,F.O.,0.002,216,131
2022-01-01,04:00,0.005,0.005,0.026,F.O.,0.002,216,145
2022-01-01,05:00,0.005,0.005,0.024,F.O.,0.002,D.I.,157
2022-01-01,06:00,0.005,0.005,0.023,F.O.,0.002,D.I.,157
2022-01-01,07:00,0.005,0.005,0.021,F.O.,0.002,D.I.,159
2022-01-01,08:00,0.006,0.005,0.019,F.O.,0.002,246,157
2022-01-01,09:00,0.014,0.006,0.014,F.O.,0.002,205,134
2022-01-01,10:00,0.032,0.010,0.011,F.O.,0.002,166,114
2022-01-01,11:00,0.049,0.015,0.007,F.O.,0.002,113,81
2022-01-01,12:00,0.064,0.023,0.004,F.O.,0.002,83,60
2022-01-01,13:00,0.073,0.031,0.003,F.O.,0.002,55,43
2022-01-01,14:00,0.073,0.040,0.005,F.O.,0.002,41,43
2022-01-01,15:00,0.055,0.046,0.003,F.O.,0.002,43,27
2022-01-01,16:00,0.058,0.052,0.003,F.O.,0.002,43,19
2022-01-01,17:00,0.057,0.058,0.002,F.O.,0.002,40,19
2022-01-01,18:00,0.045,0.059,0.006,F.O.,0.002,42,23
2022-01-01,19:00,0.026,0.056,0.019,F.O.,0.002,53,23
2022-01-01,20:00,0.028,0.052,0.019,F.O.,0.002,50,15
2022-01-01,21:00,0.005,0.043,0.034,F.O.,0.002,75,20
2022-01-01,22:00,0.003,0.035,0.032,F.O.,0.002,90,37
2022-01-01,23:00,0.007,0.029,0.026,F.O.,0.002,92,55
2022-01-02,00:00,0.004,0.022,0.025,F.O.,0.002,118,59
2022-01-02,01:00,0.004,0.015,0.024,F.O.,0.002,126,55
2022-01-02,02:00,0.004,0.010,0.023,F.O.,0.002,122,57
2022-01-02,03:00,0.007,0.008,0.019,F.O.,0.002,107,57
2022-01-02,04:00,0.009,0.005,0.015,F.O.,0.002,99,50
2022-01-02,05:00,0.008,0.006,0.015,F.O.,0.002,80,41
2022-01-02,06:00,0.008,0.006,0.013,F.O.,0.002,75,35
2022-01-02,07:00,0.006,0.006,0.015,F.O.,0.002,65,33
2022-01-02,08:00,0.007,0.007,0.014,F.O.,0.002,63,31
2022-01-02,09:00,0.014,0.008,0.011,F.O.,0.002,52,30
2022-01-02,10:00,0.023,0.010,0.010,F.O.,0.002,43,24
2022-01-02,11:00,0.036,0.014,0.007,F.O.,0.002,35,19
2022-01-02,12:00,0.042,0.018,0.003,F.O.,0.002,46,16
2022-01-02,13:00,0.051,0.023,0.004,F.O.,0.001,62,15
2022-01-02,14:00,0.066,0.031,0.007,F.O.,0.001,58,16
2022-01-02,15:00,0.056,0.037,0.005,F.O.,0.001,49,19
2022-01-02,16:00,0.038,0.041,0.007,F.O.,0.001,84,21
2022-01-02,17:00,0.034,0.043,0.008,F.O.,0.001,120,21
2022-01-02,18:00,0.030,0.044,0.010,F.O.,0.001,121,22
2022-01-02,19:00,0.025,0.043,0.011,F.O.,0.001,101,36
2022-01-02,20:00,0.020,0.040,0.010,F.O.,0.001,79,31
2022-01-02,21:00,0.020,0.036,0.009,F.O.,0.001,62,33
2022-01-02,22:00,0.021,0.031,0.009,F.O.,0.001,43,22
2022-01-02,23:00,0.025,0.027,0.007,F.O.,0.001,40,19
2022-01-03,00:00,0.027,0.025,0.005,F.O.,0.001,26,19
2022-01-03,01:00,0.026,0.024,0.004,F.O.,0.001,24,10
2022-01-03,02:00,0.026,0.024,0.004,F.O.,0.001,22,8
2022-01-03,03:00,0.026,0.024,0.003,F.O.,0.001,22,15
2022-01-03,04:00,0.024,0.024,0.004,F.O.,Mtto,16,15
2022-01-03,05:00,0.022,0.025,0.005,F.O.,Mtto,15,D.I.
2022-01-03,06:00,0.017,0.024,0.007,F.O.,Mtto,12,F.O.
2022-01-03,07:00,0.006,0.022,0.013,F.O.,Mtto,19,D.I.
2022-01-03,08:00,0.004,0.019,0.015,F.O.,0.001,19,D.I.
