Fecha,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01-01-2023,00:00,3,10,15,2,71,73
01-01-2023,01:00,2,9,17,2,80,78
01-01-2023,02:00,2,9,18,4,91,87
01-01-2023,03:00,2,8,19,4,102,97
01-01-2023,04:00,2,7,19,4,105,107
01-01-2023,05:00,2,7,18,4,107,113
01-01-2023,06:00,2,6,16,4,109,117
01-01-2023,07:00,2,6,14,4,111,121
01-01-2023,08:00,2,5,12,4,112,123
01-01-2023,09:00,5,6,11,4,114,127
01-01-2023,10:00,14,5,10,4,114,127
01-01-2023,11:00,22,3,9,4,113,128
01-01-2023,12:00,28,1,8,4,113,129
01-01-2023,13:00,24,0,6,4,112,128
01-01-2023,14:00,26,0,5,4,111,128
01-01-2023,15:00,25,0,4,4,111,128
01-01-2023,16:00,26,1,3,4,111,128
01-01-2023,17:00,21,2,2,4,111,132
01-01-2023,18:00,15,4,2,4,111,132
01-01-2023,19:00,9,8,2,4,110,134
01-01-2023,20:00,7,10,3,4,110,134
01-01-2023,21:00,5,10,3,4,110,134
01-01-2023,22:00,3,12,5,4,109,132
01-01-2023,23:00,1,12,6,4,108,131
02-01-2023,00:00,1,11,8,4,107,129
02-01-2023,01:00,3,10,8,4,105,126
02-01-2023,02:00,2,9,9,4,103,121
02-01-2023,03:00,3,7,8,4,97,114
02-01-2023,04:00,1,8,8,4,87,107
02-01-2023,05:00,1,7,9,2,83,102
02-01-2023,06:00,1,6,8,2,76,93
02-01-2023,07:00,2,6,7,4,70,85
02-01-2023,08:00,2,6,7,4,65,81
02-01-2023,09:00,3,8,7,4,60,75
02-01-2023,10:00,6,12,8,4,55,69
02-01-2023,11:00,16,4,8,4,55,67
02-01-2023,12:00,19,1,7,4,55,66
02-01-2023,13:00,19,1,6,4,55,D.I.
02-01-2023,14:00,21,2,6,4,57,D.I.
02-01-2023,15:00,21,1,5,4,58,67
02-01-2023,16:00,19,2,4,4,58,66
02-01-2023,17:00,19,2,3,4,60,66
02-01-2023,18:00,14,6,3,4,63,66
02-01-2023,19:00,10,7,3,4,64,66
02-01-2023,20:00,5,10,4,4,63,66
02-01-2023,21:00,4,11,4,4,63,66
02-01-2023,22:00,9,8,4,2,63,64
02-01-2023,23:00,4,10,5,2,61,64
03-01-2023,00:00,9,7,5,2,60,63
03-01-2023,01:00,9,7,5,2,58,61
03-01-2023,02:00,10,4,5,2,58,63
03-01-2023,03:00,11,3,5,2,57,61
03-01-2023,04:00,12,2,4,2,55,61
03-01-2023,05:00,11,4,3,2,51,61
03-01-2023,06:00,4,7,3,2,45,61
03-01-2023,07:00,1,7,3,2,45,60
03-01-2023,08:00,2,8,3,2,44,60
03-01-2023,09:00,3,10,4,2,51,60
03-01-2023,10:00,6,11,5,2,52,60
03-01-2023,11:00,13,6,5,2,51,60
03-01-2023,12:00,20,2,6,2,51,60
03-01-2023,13:00,20,1,6,2,52,60
03-01-2023,14:00,22,1,5,2,52,60
03-01-2023,15:00,24,1,5,2,51,58
03-01-2023,16:00,27,1,4,2,51,58
03-01-2023,17:00,24,3,3,2,51,58
03-01-2023,18:00,20,5,2,2,51,58
03-01-2023,19:00,12,10,3,2,51,58
03-01-2023,20:00,6,13,3,2,54,60
03-01-2023,21:00,1,15,5,2,55,60
03-01-2023,22:00,1,15,7,2,58,61
03-01-2023,23:00,1,14,10,2,63,63
04-01-2023,00:00,2,12,11,2,65,64
04-01-2023,01:00,1,11,11,2,68,67
04-01-2023,02:00,1,11,12,2,70,67
04-01-2023,03:00,1,11,12,2,73,69
04-01-2023,04:00,1,11,12,4,76,69
04-01-2023,05:00,1,11,10,4,78,70
04-01-2023,06:00,2,10,9,4,80,70
04-01-2023,07:00,1,10,7,4,80,69
04-01-2023,08:00,2,10,6,4,81,69
04-01-2023,09:00,4,11,6,2,81,69
04-01-2023,10:00,9,13,7,2,81,69
04-01-2023,11:00,19,8,6,2,81,69
04-01-2023,12:00,29,5,6,2,83,67
04-01-2023,13:00,34,5,6,2,83,67
04-01-2023,14:00,33,3,5,4,83,69
04-01-2023,15:00,33,3,5,4,83,70
04-01-2023,16:00,36,2,4,4,84,70
04-01-2023,17:00,35,2,3,4,83,70
04-01-2023,18:00,33,2,3,4,84,72
04-01-2023,19:00,20,9,3,4,84,73
04-01-2023,20:00,11,13,3,4,83,73
04-01-2023,21:00,6,17,4,4,80,73
04-01-2023,22:00,7,15,5,2,78,73
04-01-2023,23:00,8,12,5,2,77,72
05-01-2023,00:00,11,11,5,2,74,70
05-01-2023,01:00,11,10,6,2,71,70
05-01-2023,02:00,10,9,6,2,71,72
