Fecha,Horas,O3 horario (ppm),O3 8 hrs (ppm),NO2 horario (ppm),CO 8 hrs (ppm),SO2 24 hrs (ppm),PM-10 12 hrs (µg/m3),PM-2.5 12 hrs (µg/m3)
2021-01-01,00:00,0.016,0.020,0.017,0.70,0.376,47,24
2021-01-01,01:00,0.014,0.017,0.015,0.72,0.398,62,30
2021-01-01,02:00,0.008,0.015,0.018,0.76,0.421,67,41
2021-01-01,03:00,0.004,0.012,0.017,0.78,0.437,70,47
2021-01-01,04:00,0.005,0.011,0.016,0.76,0.445,73,46
2021-01-01,05:00,0.004,0.010,0.015,0.73,0.456,64,43
2021-01-01,06:00,0.005,0.009,0.013,0.69,0.460,64,39
2021-01-01,07:00,0.004,0.008,0.013,0.66,0.461,45,29
2021-01-01,08:00,0.003,0.006,0.016,0.65,0.466,45,21
2021-01-01,09:00,0.015,0.006,0.012,0.64,0.473,45,11
2021-01-01,10:00,0.027,0.008,0.011,0.61,0.479,40,8
2021-01-01,11:00,0.040,0.013,0.006,0.56,0.472,D.I.,14
2021-01-01,12:00,0.048,0.018,0.005,0.52,0.472,24,13
2021-01-01,13:00,0.048,0.024,0.005,0.49,0.477,30,13
2021-01-01,14:00,0.044,0.029,0.005,0.46,0.476,27,14
2021-01-01,15:00,0.042,0.033,0.004,0.42,0.467,30,14
2021-01-01,16:00,0.040,0.038,0.004,0.39,0.456,22,11
2021-01-01,17:00,0.040,0.041,0.005,0.35,0.443,32,9
2021-01-01,18:00,0.038,0.043,0.006,0.35,0.433,23,11
2021-01-01,19:00,0.025,0.041,0.015,0.35,0.429,46,15
2021-01-01,20:00,0.012,0.036,0.026,F.O.,0.437,62,14
2021-01-01,21:00,0.003,0.031,0.030,F.O.,0.434,65,18
2021-01-01,22:00,0.001,0.025,0.028,F.O.,0.444,92,26
2021-01-01,23:00,F.O.,0.023,0.027,F.O.,0.444,97,30
2021-01-02,00:00,0.001,0.017,0.024,D.I.,0.432,79,26
2021-01-02,01:00,0.002,0.012,0.022,D.I.,0.409,60,19
2021-01-02,02:00,0.007,0.007,0.017,D.I.,0.387,56,19
2021-01-02,03:00,0.008,0.005,0.015,D.I.,0.371,41,14
