Fecha,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01-01-2023,00:00,1,7,20,2,29,58
01-01-2023,01:00,1,6,21,2,33,61
01-01-2023,02:00,1,5,22,2,36,64
01-01-2023,03:00,1,5,22,2,40,67
01-01-2023,04:00,1,5,21,2,41,69
01-01-2023,05:00,1,6,20,2,44,70
01-01-2023,06:00,1,6,19,2,52,72
01-01-2023,07:00,1,5,18,2,52,73
01-01-2023,08:00,1,5,17,2,54,D.I.
01-01-2023,09:00,4,7,16,2,54,D.I.
01-01-2023,10:00,16,11,16,2,58,D.I.
01-01-2023,11:00,23,5,16,2,60,D.I.
01-01-2023,12:00,23,2,16,2,60,D.I.
01-01-2023,13:00,26,1,15,2,60,D.I.
01-01-2023,14:00,25,1,15,2,58,D.I.
01-01-2023,15:00,22,0,14,2,58,D.I.
01-01-2023,16:00,23,2,14,2,58,D.I.
01-01-2023,17:00,19,2,13,2,58,D.I.
01-01-2023,18:00,13,3,12,2,58,D.I.
01-01-2023,19:00,7,5,12,2,57,D.I.
01-01-2023,20:00,2,7,12,2,57,D.I.
01-01-2023,21:00,1,8,13,2,55,D.I.
01-01-2023,22:00,1,8,14,2,55,D.I.
01-01-2023,23:00,1,8,15,2,54,D.I.
02-01-2023,00:00,1,8,16,2,54,D.I.
02-01-2023,01:00,1,7,16,2,51,D.I.
02-01-2023,02:00,1,6,17,2,43,D.I.
02-01-2023,03:00,3,5,17,2,39,D.I.
02-01-2023,04:00,2,5,16,2,38,D.I.
02-01-2023,05:00,1,6,16,2,35,D.I.
02-01-2023,06:00,1,6,15,2,33,D.I.
02-01-2023,07:00,1,7,14,2,33,D.I.
02-01-2023,08:00,1,7,14,2,33,D.I.
02-01-2023,09:00,4,8,14,2,33,D.I.
02-01-2023,10:00,14,5,14,2,29,D.I.
02-01-2023,11:00,16,3,14,2,28,D.I.
02-01-2023,12:00,18,2,14,2,28,D.I.
02-01-2023,13:00,18,2,14,2,29,D.I.
02-01-2023,14:00,16,1,14,2,29,D.I.
02-01-2023,15:00,17,2,13,2,29,D.I.
02-01-2023,16:00,16,2,13,2,29,D.I.
02-01-2023,17:00,14,3,13,2,30,D.I.
02-01-2023,18:00,11,4,13,2,30,D.I.
02-01-2023,19:00,6,7,13,2,33,D.I.
02-01-2023,20:00,2,9,14,2,34,D.I.
02-01-2023,21:00,1,9,14,2,34,D.I.
02-01-2023,22:00,1,10,16,2,34,D.I.
02-01-2023,23:00,1,9,17,2,33,60
03-01-2023,00:00,1,8,16,2,54,D.I.
03-01-2023,01:00,1,7,16,2,51,D.I.
03-01-2023,02:00,1,6,17,2,43,D.I.
03-01-2023,03:00,3,5,17,2,39,D.I.
03-01-2023,04:00,2,5,16,2,38,D.I.
03-01-2023,05:00,1,6,16,2,35,D.I.
03-01-2023,06:00,1,6,15,2,33,D.I.
03-01-2023,07:00,1,7,14,2,33,D.I.
03-01-2023,08:00,1,7,14,2,33,D.I.
03-01-2023,09:00,4,8,14,2,33,D.I.
03-01-2023,10:00,14,5,14,2,29,D.I.
03-01-2023,11:00,16,3,14,2,28,D.I.
03-01-2023,12:00,18,2,14,2,28,D.I.
03-01-2023,13:00,18,2,14,2,29,D.I.
03-01-2023,14:00,16,1,14,2,29,D.I.
