Fecha,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01-01-2023,00:00,D.I.,F.O.,26,Mtto,63,79
01-01-2023,01:00,D.I.,F.O.,28,Mtto,71,85
01-01-2023,02:00,0,F.O.,30,Mtto,81,94
01-01-2023,03:00,0,F.O.,30,Mtto,88,104
01-01-2023,04:00,D.I.,F.O.,30,Mtto,93,107
01-01-2023,05:00,D.I.,F.O.,30,Mtto,99,108
01-01-2023,06:00,D.I.,F.O.,29,Mtto,102,111
01-01-2023,07:00,D.I.,F.O.,29,Mtto,105,115
01-01-2023,08:00,D.I.,F.O.,28,Mtto,106,118
01-01-2023,09:00,2,F.O.,27,Mtto,106,119
01-01-2023,10:00,10,F.O.,26,Mtto,107,120
01-01-2023,11:00,19,F.O.,25,Mtto,107,122
01-01-2023,12:00,24,F.O.,24,Mtto,107,124
01-01-2023,13:00,26,F.O.,23,Mtto,107,124
01-01-2023,14:00,21,F.O.,22,Mtto,107,127
01-01-2023,15:00,20,F.O.,21,Mtto,107,126
01-01-2023,16:00,21,F.O.,20,Mtto,107,126
01-01-2023,17:00,20,F.O.,19,Mtto,106,126
01-01-2023,18:00,16,F.O.,18,Mtto,106,126
01-01-2023,19:00,10,F.O.,19,Mtto,106,126
01-01-2023,20:00,8,F.O.,19,Mtto,106,126
01-01-2023,21:00,6,F.O.,19,Mtto,106,126
01-01-2023,22:00,3,F.O.,20,Mtto,105,125
01-01-2023,23:00,D.I.,F.O.,21,Mtto,102,122
02-01-2023,00:00,3,F.O.,21,Mtto,101,115
02-01-2023,01:00,4,F.O.,22,Mtto,93,110
02-01-2023,02:00,2,F.O.,23,Mtto,83,104
02-01-2023,03:00,D.I.,F.O.,23,Mtto,77,94
02-01-2023,04:00,D.I.,F.O.,23,Mtto,73,88
02-01-2023,05:00,D.I.,F.O.,23,Mtto,67,82
02-01-2023,06:00,D.I.,F.O.,23,Mtto,60,75
02-01-2023,07:00,D.I.,F.O.,23,Mtto,52,69
02-01-2023,08:00,D.I.,F.O.,23,Mtto,45,64
02-01-2023,09:00,1,F.O.,25,Mtto,51,61
02-01-2023,10:00,4,F.O.,25,Mtto,51,58
02-01-2023,11:00,12,F.O.,24,D.I.,52,60
02-01-2023,12:00,18,F.O.,24,D.I.,54,60
02-01-2023,13:00,19,F.O.,24,D.I.,54,60
02-01-2023,14:00,18,F.O.,23,D.I.,55,58
02-01-2023,15:00,F.O.,F.O.,23,D.I.,57,60
02-01-2023,16:00,19,F.O.,22,D.I.,60,61
02-01-2023,17:00,18,F.O.,20,D.I.,61,60
02-01-2023,18:00,16,F.O.,19,D.I.,63,61
02-01-2023,19:00,10,F.O.,19,D.I.,63,61
02-01-2023,20:00,4,F.O.,20,D.I.,64,61
02-01-2023,21:00,4,F.O.,21,D.I.,65,63
02-01-2023,22:00,5,F.O.,21,D.I.,65,63
02-01-2023,23:00,D.I.,F.O.,22,Mtto,67,63
03-01-2023,00:00,5,F.O.,22,Mtto,64,63
03-01-2023,01:00,11,F.O.,22,Mtto,61,61
03-01-2023,02:00,11,F.O.,22,Mtto,60,60
03-01-2023,03:00,11,F.O.,21,Mtto,57,60
03-01-2023,04:00,D.I.,F.O.,21,Mtto,57,58
03-01-2023,05:00,D.I.,F.O.,22,Mtto,60,58
03-01-2023,06:00,D.I.,F.O.,22,Mtto,61,61
03-01-2023,07:00,D.I.,F.O.,23,Mtto,64,63
03-01-2023,08:00,D.I.,F.O.,24,Mtto,65,64
03-01-2023,09:00,1,F.O.,25,Mtto,65,64
03-01-2023,10:00,4,F.O.,26,D.I.,65,66
03-01-2023,11:00,11,F.O.,26,D.I.,65,66
03-01-2023,12:00,19,F.O.,27,D.I.,67,66
03-01-2023,13:00,22,F.O.,25,D.I.,68,66
03-01-2023,14:00,23,F.O.,24,D.I.,67,64
03-01-2023,15:00,24,F.O.,23,D.I.,65,64
03-01-2023,16:00,27,F.O.,21,D.I.,65,64
03-01-2023,17:00,25,F.O.,20,D.I.,65,64
03-01-2023,18:00,19,F.O.,20,D.I.,65,64
03-01-2023,19:00,9,F.O.,20,D.I.,65,64
03-01-2023,20:00,1,F.O.,20,D.I.,67,64
03-01-2023,21:00,D.I.,F.O.,22,D.I.,68,66
03-01-2023,22:00,D.I.,F.O.,23,D.I.,73,66
03-01-2023,23:00,D.I.,F.O.,25,D.I.,80,69
04-01-2023,00:00,D.I.,F.O.,26,D.I.,84,73
04-01-2023,01:00,D.I.,F.O.,28,D.I.,87,75
