"Fecha","Horas","O3","NO2","CO","SO2","PM_10","PM_2.5"
2023-01-01,0S,2,13,16,4,NA,NA
2023-01-01,1H 0M 0S,1,10,18,4,NA,NA
2023-01-01,2H 0M 0S,1,10,20,4,NA,NA
2023-01-01,3H 0M 0S,2,10,21,4,NA,NA
2023-01-01,4H 0M 0S,5,8,22,4,NA,NA
2023-01-01,5H 0M 0S,4,9,23,4,NA,NA
2023-01-01,6H 0M 0S,4,8,22,4,NA,NA
2023-01-01,7H 0M 0S,2,7,22,6,NA,NA
2023-01-01,8H 0M 0S,2,6,21,6,NA,NA
2023-01-01,9H 0M 0S,6,7,21,6,116,NA
2023-01-01,10H 0M 0S,14,9,20,6,116,NA
2023-01-01,11H 0M 0S,21,6,19,6,117,NA
2023-01-01,12H 0M 0S,26,3,17,6,117,NA
2023-01-01,13H 0M 0S,24,1,16,6,NA,NA
2023-01-01,14H 0M 0S,24,2,14,6,NA,NA
2023-01-01,15H 0M 0S,24,NA,13,6,NA,NA
2023-01-01,16H 0M 0S,25,NA,12,6,116,NA
2023-01-01,17H 0M 0S,23,2,11,6,114,NA
2023-01-01,18H 0M 0S,19,2,11,6,113,NA
2023-01-01,19H 0M 0S,16,4,11,6,113,NA
2023-01-01,20H 0M 0S,14,6,11,6,112,NA
2023-01-01,21H 0M 0S,10,8,11,6,112,NA
2023-01-01,22H 0M 0S,2,16,12,6,111,NA
2023-01-01,23H 0M 0S,1,16,13,6,110,NA
2023-01-02,0S,1,15,14,6,109,NA
2023-01-02,1H 0M 0S,1,14,14,6,108,NA
2023-01-02,2H 0M 0S,1,12,15,4,106,NA
2023-01-02,3H 0M 0S,1,11,16,4,104,NA
2023-01-02,4H 0M 0S,1,10,16,4,101,NA
2023-01-02,5H 0M 0S,1,9,16,4,80,NA
2023-01-02,6H 0M 0S,1,9,16,4,64,NA
2023-01-02,7H 0M 0S,1,8,16,4,54,NA
2023-01-02,8H 0M 0S,1,9,17,4,44,NA
2023-01-02,9H 0M 0S,1,11,17,4,41,NA
2023-01-02,10H 0M 0S,7,17,17,4,40,NA
2023-01-02,11H 0M 0S,18,8,17,4,40,NA
2023-01-02,12H 0M 0S,20,3,17,4,40,NA
2023-01-02,13H 0M 0S,20,2,16,4,38,NA
2023-01-02,14H 0M 0S,21,2,16,4,38,NA
2023-01-02,15H 0M 0S,21,2,15,4,38,NA
2023-01-02,16H 0M 0S,20,2,13,4,38,NA
2023-01-02,17H 0M 0S,20,2,12,4,38,73
2023-01-02,18H 0M 0S,19,3,11,4,39,72
2023-01-02,19H 0M 0S,12,8,11,4,39,72
2023-01-02,20H 0M 0S,11,10,11,4,40,72
2023-01-02,21H 0M 0S,12,9,12,4,40,72
