Fecha,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01-01-2022,00:00,1,8,14,4,80,72
01-01-2022,01:00,1,6,15,4,84,75
01-01-2022,02:00,1,6,16,4,90,79
01-01-2022,03:00,1,5,16,4,94,84
01-01-2022,04:00,1,4,15,4,97,85
01-01-2022,05:00,1,5,15,6,99,87
01-01-2022,06:00,1,4,14,6,102,93
01-01-2022,07:00,1,3,12,6,102,93
01-01-2022,08:00,1,2,11,6,101,91
01-01-2022,09:00,6,3,11,4,99,91
01-01-2022,10:00,19,8,11,4,101,96
01-01-2022,11:00,25,0,11,4,101,102
01-01-2022,12:00,34,0,11,6,101,102
01-01-2022,13:00,41,0,10,6,101,102
01-01-2022,14:00,44,0,9,6,101,102
01-01-2022,15:00,43,0,9,6,101,103
01-01-2022,16:00,27,D.I.,9,6,101,103
01-01-2022,17:00,26,D.I.,8,6,101,103
01-01-2022,18:00,26,0,7,6,101,102
01-01-2022,19:00,20,3,7,6,101,102
01-01-2022,20:00,14,4,7,6,101,102
01-01-2022,21:00,3,8,8,6,99,102
01-01-2022,22:00,4,6,9,4,97,97
01-01-2022,23:00,1,7,10,4,97,97
02-01-2022,00:00,4,6,10,4,94,96
02-01-2022,01:00,6,5,10,4,90,93
02-01-2022,02:00,5,4,11,4,84,88
02-01-2022,03:00,7,4,11,4,80,85
02-01-2022,04:00,7,4,10,4,78,84
02-01-2022,05:00,9,2,9,4,76,82
02-01-2022,06:00,7,2,9,4,70,78
02-01-2022,07:00,2,5,8,4,70,78
02-01-2022,08:00,4,5,8,4,70,76
02-01-2022,09:00,6,7,8,4,71,76
02-01-2022,10:00,8,10,9,4,68,72
02-01-2022,11:00,16,9,10,4,68,70
02-01-2022,12:00,25,1,10,4,70,70
02-01-2022,13:00,30,D.I.,10,4,70,69
02-01-2022,14:00,33,D.I.,10,4,68,69
02-01-2022,15:00,20,D.I.,9,4,73,69
02-01-2022,16:00,19,D.I.,9,4,81,69
02-01-2022,17:00,21,D.I.,8,4,87,69
02-01-2022,18:00,21,D.I.,7,4,90,70
02-01-2022,19:00,16,1,6,4,90,70
02-01-2022,20:00,14,1,6,4,90,69
02-01-2022,21:00,6,4,6,4,88,67
02-01-2022,22:00,7,3,7,4,84,64
02-01-2022,23:00,6,3,7,4,80,63
03-01-2022,00:00,7,2,7,4,77,61
03-01-2022,01:00,12,1,7,4,74,60
03-01-2022,02:00,7,2,7,4,71,58
03-01-2022,03:00,8,2,7,4,70,58
03-01-2022,04:00,13,0,7,4,68,57
03-01-2022,05:00,12,0,6,4,68,57
03-01-2022,06:00,7,1,6,4,68,57
03-01-2022,07:00,8,2,6,4,67,55
03-01-2022,08:00,6,3,6,4,67,55
03-01-2022,09:00,15,0,6,4,65,55
03-01-2022,10:00,20,D.I.,6,4,63,54
03-01-2022,11:00,20,D.I.,6,4,60,52
03-01-2022,12:00,25,D.I.,6,4,58,52
03-01-2022,13:00,27,D.I.,6,4,57,52
03-01-2022,14:00,26,D.I.,6,4,57,52
03-01-2022,15:00,26,D.I.,6,4,52,42
03-01-2022,16:00,24,D.I.,6,4,39,42
03-01-2022,17:00,23,D.I.,6,4,34,38
03-01-2022,18:00,20,0,6,4,31,38
03-01-2022,19:00,15,3,6,4,31,38
03-01-2022,20:00,5,7,7,4,34,42
03-01-2022,21:00,5,6,7,4,38,52
03-01-2022,22:00,3,6,7,4,39,54
03-01-2022,23:00,2,6,7,4,39,55
04-01-2022,00:00,F.O.,F.O.,8,4,40,55
04-01-2022,01:00,3,5,8,4,41,55
04-01-2022,02:00,2,5,8,4,43,55
04-01-2022,03:00,1,3,8,4,43,55
04-01-2022,04:00,1,4,8,4,45,57
04-01-2022,05:00,1,4,8,4,51,57
04-01-2022,06:00,1,5,7,4,45,57
04-01-2022,07:00,1,6,7,4,45,57
04-01-2022,08:00,1,6,8,4,52,57
04-01-2022,09:00,2,8,9,4,52,57
04-01-2022,10:00,4,14,12,4,58,58
04-01-2022,11:00,19,8,12,4,63,60
04-01-2022,12:00,31,2,12,4,64,61
04-01-2022,13:00,30,2,12,4,65,61
04-01-2022,14:00,32,D.I.,12,4,67,61
04-01-2022,15:00,34,0,12,4,67,61
04-01-2022,16:00,39,1,11,4,67,61
04-01-2022,17:00,31,1,10,4,70,63
04-01-2022,18:00,26,2,8,4,70,63
04-01-2022,19:00,18,7,8,4,70,63
04-01-2022,20:00,10,10,8,4,67,63
04-01-2022,21:00,1,11,9,4,67,63
04-01-2022,22:00,3,7,10,4,68,63
04-01-2022,23:00,1,8,11,4,70,63
05-01-2022,00:00,5,6,11,4,71,63
05-01-2022,01:00,3,8,11,4,74,63
