"","Fecha_Hora","O3_Horario","O3_8H","NO2","CO_8H","SO2_24H","PM_10","PM_2.5"
"1",2022-01-01 00:00:00,2,21,NA,NA,5,139,NA
"2",2022-01-01 01:00:00,3,15,NA,NA,5,86,NA
"3",2022-01-01 02:00:00,3,10,NA,NA,5,86,NA
"4",2022-01-01 03:00:00,3,6,NA,NA,5,NA,NA
"5",2022-01-01 04:00:00,3,3,NA,NA,5,NA,NA
"6",2022-01-01 05:00:00,3,3,NA,NA,5,NA,NA
"7",2022-01-01 06:00:00,4,3,55,NA,5,NA,NA
"8",2022-01-01 07:00:00,4,3,52,NA,5,NA,NA
"9",2022-01-01 08:00:00,4,3,44,NA,6,NA,NA
"10",2022-01-01 09:00:00,13,5,35,NA,6,NA,NA
"11",2022-01-01 10:00:00,27,8,30,NA,6,NA,NA
"12",2022-01-01 11:00:00,42,13,19,NA,6,NA,NA
"13",2022-01-01 12:00:00,57,19,17,NA,6,NA,NA
"14",2022-01-01 13:00:00,69,28,13,NA,6,NA,NA
"15",2022-01-01 14:00:00,76,37,13,246,6,NA,NA
"16",2022-01-01 15:00:00,69,45,12,242,6,NA,NA
"17",2022-01-01 16:00:00,57,51,11,239,6,NA,NA
"18",2022-01-01 17:00:00,58,57,10,232,6,NA,NA
"19",2022-01-01 18:00:00,49,60,12,229,6,NA,NA
"20",2022-01-01 19:00:00,38,59,22,228,6,NA,NA
"21",2022-01-01 20:00:00,32,56,25,230,6,NA,NA
"22",2022-01-01 21:00:00,2,48,NA,236,6,NA,NA
"23",2022-01-01 22:00:00,1,38,NA,237,6,NA,NA
"24",2022-01-01 23:00:00,3,30,NA,246,6,NA,NA
"25",2022-01-02 00:00:00,5,24,48,254,6,NA,NA
"26",2022-01-02 01:00:00,3,17,NA,261,6,NA,NA
"27",2022-01-02 02:00:00,12,12,34,264,5,NA,NA
"28",2022-01-02 03:00:00,14,9,29,264,5,NA,NA
"29",2022-01-02 04:00:00,13,7,28,265,5,NA,NA
"30",2022-01-02 05:00:00,15,8,26,255,5,NA,NA
"31",2022-01-02 06:00:00,11,10,27,253,5,NA,NA
"32",2022-01-02 07:00:00,7,10,34,247,5,NA,NA
"33",2022-01-02 08:00:00,6,10,36,244,4,NA,NA
"34",2022-01-02 09:00:00,12,11,34,242,4,NA,NA
"35",2022-01-02 10:00:00,18,12,36,243,4,NA,NA
"36",2022-01-02 11:00:00,31,14,20,239,4,NA,NA
"37",2022-01-02 12:00:00,37,17,13,234,4,NA,NA
"38",2022-01-02 13:00:00,38,20,15,227,4,NA,NA
"39",2022-01-02 14:00:00,39,24,13,220,4,NA,NA
"40",2022-01-02 15:00:00,37,27,17,211,4,NA,NA
"41",2022-01-02 16:00:00,33,31,20,198,4,NA,NA
"42",2022-01-02 17:00:00,33,33,25,185,4,NA,NA
"43",2022-01-02 18:00:00,31,35,24,172,4,NA,NA
"44",2022-01-02 19:00:00,22,34,30,165,4,NA,NA
"45",2022-01-02 20:00:00,16,31,26,162,4,NA,NA
"46",2022-01-02 21:00:00,18,29,23,160,4,NA,NA
"47",2022-01-02 22:00:00,21,26,20,159,4,NA,NA
"48",2022-01-02 23:00:00,21,24,20,158,3,NA,NA
"49",2022-01-03 00:00:00,19,23,21,157,3,NA,NA
"50",2022-01-03 01:00:00,19,21,16,154,3,NA,NA
"51",2022-01-03 02:00:00,20,20,13,151,3,NA,NA
"52",2022-01-03 03:00:00,20,19,11,147,3,NA,NA
"53",2022-01-03 04:00:00,16,19,17,144,3,NA,NA
"54",2022-01-03 05:00:00,14,19,18,142,3,NA,NA
"55",2022-01-03 06:00:00,2,16,36,141,3,NA,NA
"56",2022-01-03 07:00:00,1,14,34,143,3,NA,NA
"57",2022-01-03 08:00:00,1,12,40,150,3,NA,NA
"58",2022-01-03 09:00:00,4,10,40,159,3,NA,NA
"59",2022-01-03 10:00:00,23,10,27,162,3,NA,NA
"60",2022-01-03 11:00:00,25,11,24,165,3,NA,NA
"61",2022-01-03 12:00:00,31,13,31,168,3,NA,NA
"62",2022-01-03 13:00:00,41,16,32,172,3,NA,NA
"63",2022-01-03 14:00:00,51,22,23,173,3,NA,NA
"64",2022-01-03 15:00:00,43,27,16,172,3,NA,NA
"65",2022-01-03 16:00:00,42,33,11,166,3,NA,NA
"66",2022-01-03 17:00:00,39,37,11,160,3,51,NA
"67",2022-01-03 18:00:00,35,38,16,160,3,48,NA
"68",2022-01-03 19:00:00,19,38,NA,171,3,60,NA
"69",2022-01-03 20:00:00,5,34,NA,180,3,81,NA
"70",2022-01-03 21:00:00,5,30,NA,189,3,110,NA
"71",2022-01-03 22:00:00,5,24,NA,196,3,111,NA
"72",2022-01-03 23:00:00,5,19,51,201,3,102,NA
"73",2022-01-04 00:00:00,2,14,55,207,3,97,NA
"74",2022-01-04 01:00:00,1,10,56,212,3,96,NA
"75",2022-01-04 02:00:00,96,5,NA,221,3,110,NA
"76",2022-01-04 03:00:00,96,3,56,222,3,116,NA
"77",2022-01-04 04:00:00,96,83,50,219,3,113,NA
"78",2022-01-04 05:00:00,1,2,43,217,3,103,NA
"79",2022-01-04 06:00:00,1,1,43,218,3,94,NA
"80",2022-01-04 07:00:00,96,1,47,227,3,94,NA
"81",2022-01-04 08:00:00,1,1,45,231,3,100,NA
"82",2022-01-04 09:00:00,5,1,NA,235,3,100,NA
"83",2022-01-04 10:00:00,14,3,NA,239,3,97,NA
"84",2022-01-04 11:00:00,37,7,34,241,3,90,NA
"85",2022-01-04 12:00:00,50,14,22,250,3,78,NA
"86",2022-01-04 13:00:00,58,21,32,259,3,75,NA
"87",2022-01-04 14:00:00,62,28,19,263,3,73,NA
"88",2022-01-04 15:00:00,69,37,17,255,4,67,NA
"89",2022-01-04 16:00:00,66,45,16,253,4,71,NA
"90",2022-01-04 17:00:00,62,52,16,251,4,74,NA
"91",2022-01-04 18:00:00,58,58,22,245,4,75,NA
"92",2022-01-04 19:00:00,45,59,43,246,4,78,NA
"93",2022-01-04 20:00:00,39,57,NA,250,4,81,NA
"94",2022-01-04 21:00:00,6,51,NA,249,4,86,NA
"95",2022-01-04 22:00:00,1,43,NA,250,4,116,NA
"96",2022-01-04 23:00:00,1,35,NA,NA,4,112,NA
"97",2022-01-05 00:00:00,1,27,NA,NA,4,117,NA
"98",2022-01-05 01:00:00,1,19,NA,NA,4,2,NA
"99",2022-01-05 02:00:00,5,12,NA,NA,4,3,NA
"100",2022-01-05 03:00:00,14,9,43,NA,4,127,NA
"101",2022-01-05 04:00:00,13,5,38,NA,4,108,NA
"102",2022-01-05 05:00:00,13,6,34,281,4,99,NA
"103",2022-01-05 06:00:00,6,7,52,277,4,85,NA
"104",2022-01-05 07:00:00,1,7,NA,275,4,86,NA
"105",2022-01-05 08:00:00,1,7,NA,269,4,86,NA
"106",2022-01-05 09:00:00,5,7,NA,260,4,94,NA
"107",2022-01-05 10:00:00,11,8,NA,NA,4,101,NA
"108",2022-01-05 11:00:00,31,10,NA,NA,4,111,NA
"109",2022-01-05 12:00:00,56,16,36,NA,4,95,NA
"110",2022-01-05 13:00:00,66,22,26,NA,4,83,NA
"111",2022-01-05 14:00:00,73,31,17,NA,4,83,NA
"112",2022-01-05 15:00:00,72,39,14,NA,4,75,NA
"113",2022-01-05 16:00:00,74,49,14,NA,4,77,NA
"114",2022-01-05 17:00:00,72,57,17,247,4,81,NA
"115",2022-01-05 18:00:00,65,64,25,247,4,83,NA
"116",2022-01-05 19:00:00,57,67,33,247,4,82,NA
"117",2022-01-05 20:00:00,40,65,NA,251,4,85,NA
"118",2022-01-05 21:00:00,18,59,NA,250,4,89,NA
"119",2022-01-05 22:00:00,1,50,NA,252,4,101,NA
"120",2022-01-05 23:00:00,1,41,NA,NA,4,124,NA
"121",2022-01-06 00:00:00,1,32,NA,NA,4,22,NA
