"","Fecha_Hora","O3_Horario","O3_8H","NO2","CO_8H","SO2_24H","PM_10","PM_2.5"
"1",2022-01-01 00:00:00,6,24,40,101,2,134,41
"2",2022-01-01 01:00:00,7,19,39,117,2,6,51
"3",2022-01-01 02:00:00,7,13,36,122,2,37,62
"4",2022-01-01 03:00:00,7,9,35,127,2,41,4
"5",2022-01-01 04:00:00,7,7,33,131,2,46,8
"6",2022-01-01 05:00:00,8,6,31,133,2,48,9
"7",2022-01-01 06:00:00,8,6,29,132,3,47,12
"8",2022-01-01 07:00:00,8,6,28,128,3,51,14
"9",2022-01-01 08:00:00,9,7,25,124,3,51,14
"10",2022-01-01 09:00:00,17,8,18,121,3,50,16
"11",2022-01-01 10:00:00,34,11,14,116,3,43,11
"12",2022-01-01 11:00:00,50,17,8,106,3,25,5
"13",2022-01-01 12:00:00,63,24,6,98,3,131,60
"14",2022-01-01 13:00:00,74,32,5,87,3,108,54
"15",2022-01-01 14:00:00,78,41,5,73,3,94,39
"16",2022-01-01 15:00:00,66,48,4,54,3,87,29
"17",2022-01-01 16:00:00,58,54,3,43,3,87,25
"18",2022-01-01 17:00:00,59,59,4,32,3,80,19
"19",2022-01-01 18:00:00,50,61,5,25,3,81,18
"20",2022-01-01 19:00:00,41,60,10,24,3,77,13
"21",2022-01-01 20:00:00,30,56,21,26,3,76,17
"22",2022-01-01 21:00:00,26,50,24,30,3,82,18
"23",2022-01-01 22:00:00,7,41,42,47,3,77,17
"24",2022-01-01 23:00:00,6,34,37,63,3,89,24
"25",2022-01-02 00:00:00,6,27,33,71,3,113,40
"26",2022-01-02 01:00:00,8,21,29,80,3,120,46
"27",2022-01-02 02:00:00,15,16,20,86,3,124,47
"28",2022-01-02 03:00:00,20,14,14,89,3,115,46
"29",2022-01-02 04:00:00,19,12,13,89,2,105,41
"30",2022-01-02 05:00:00,20,12,12,86,2,97,37
"31",2022-01-02 06:00:00,19,13,12,73,2,90,34
"32",2022-01-02 07:00:00,16,14,14,60,2,87,33
"33",2022-01-02 08:00:00,13,15,17,49,2,84,28
"34",2022-01-02 09:00:00,17,16,18,44,2,81,26
"35",2022-01-02 10:00:00,25,18,16,42,2,82,24
"36",2022-01-02 11:00:00,35,20,11,40,2,84,23
"37",2022-01-02 12:00:00,42,22,5,38,2,86,17
"38",2022-01-02 13:00:00,48,26,5,36,2,90,7
"39",2022-01-02 14:00:00,48,30,5,34,2,81,63
"40",2022-01-02 15:00:00,NA,32,NA,34,2,81,63
"41",2022-01-02 16:00:00,38,35,NA,34,2,NA,NA
"42",2022-01-02 17:00:00,36,38,9,31,2,NA,NA
"43",2022-01-02 18:00:00,33,39,12,NA,2,10,10
"44",2022-01-02 19:00:00,26,38,13,NA,2,130,6
"45",2022-01-02 20:00:00,20,35,13,NA,2,104,63
"46",2022-01-02 21:00:00,22,31,11,NA,2,93,3
"47",2022-01-02 22:00:00,25,28,8,NA,2,81,63
"48",2022-01-02 23:00:00,27,27,8,45,1,70,63
"49",2022-01-03 00:00:00,25,26,8,45,1,58,59
"50",2022-01-03 01:00:00,24,24,6,43,1,54,58
"51",2022-01-03 02:00:00,24,23,6,43,1,39,58
"52",2022-01-03 03:00:00,26,23,4,41,1,39,58
"53",2022-01-03 04:00:00,25,24,5,NA,1,44,58
"54",2022-01-03 05:00:00,21,24,7,NA,1,39,53
"55",2022-01-03 06:00:00,14,22,13,NA,1,42,53
"56",2022-01-03 07:00:00,7,20,19,NA,1,49,53
"57",2022-01-03 08:00:00,7,18,24,46,1,61,6
"58",2022-01-03 09:00:00,18,17,20,53,1,75,13
"59",2022-01-03 10:00:00,26,17,15,53,1,72,10
"60",2022-01-03 11:00:00,31,18,13,54,1,69,6
"61",2022-01-03 12:00:00,39,19,13,54,1,75,13
