"","Fecha_Hora","O3_Horario","O3_8H","NO2","CO_8H","SO2_24H","PM_10","PM_2.5"
"1",2022-01-01 00:00:00,1,14,16,113,3,22,48
"2",2022-01-01 01:00:00,2,9,13,122,3,28,53
"3",2022-01-01 02:00:00,2,5,12,130,3,31,62
"4",2022-01-01 03:00:00,2,3,11,131,3,27,63
"5",2022-01-01 04:00:00,2,2,9,126,3,135,56
"6",2022-01-01 05:00:00,2,2,10,116,4,115,48
"7",2022-01-01 06:00:00,1,2,8,106,4,138,60
"8",2022-01-01 07:00:00,1,2,6,92,4,104,43
"9",2022-01-01 08:00:00,2,2,5,81,4,89,29
"10",2022-01-01 09:00:00,8,3,7,78,3,75,14
"11",2022-01-01 10:00:00,26,6,17,81,3,116,53
"12",2022-01-01 11:00:00,35,10,60,76,3,108,53
"13",2022-01-01 12:00:00,48,15,60,72,4,83,31
"14",2022-01-01 13:00:00,58,22,60,66,4,76,22
"15",2022-01-01 14:00:00,61,30,60,59,4,72,19
"16",2022-01-01 15:00:00,60,37,60,57,4,71,18
"17",2022-01-01 16:00:00,38,42,NA,52,4,74,14
"18",2022-01-01 17:00:00,37,45,NA,45,4,66,9
"19",2022-01-01 18:00:00,37,47,1,33,4,67,6
"20",2022-01-01 19:00:00,28,46,6,34,4,69,8
"21",2022-01-01 20:00:00,20,42,9,36,4,75,13
"22",2022-01-01 21:00:00,4,36,16,46,4,87,19
"23",2022-01-01 22:00:00,5,29,12,54,3,126,30
"24",2022-01-01 23:00:00,2,21,15,61,3,132,33
"25",2022-01-02 00:00:00,5,17,13,67,3,123,31
"26",2022-01-02 01:00:00,8,14,10,70,3,105,26
"27",2022-01-02 02:00:00,7,10,9,74,3,98,26
"28",2022-01-02 03:00:00,10,8,8,73,3,88,21
"29",2022-01-02 04:00:00,10,6,8,70,3,77,17
"30",2022-01-02 05:00:00,13,8,5,59,3,69,11
"31",2022-01-02 06:00:00,10,8,5,51,3,65,13
"32",2022-01-02 07:00:00,3,8,10,45,3,67,11
"33",2022-01-02 08:00:00,5,8,10,42,3,70,9
"34",2022-01-02 09:00:00,8,8,14,48,3,69,2
"35",2022-01-02 10:00:00,11,9,22,57,3,85,8
"36",2022-01-02 11:00:00,22,10,19,63,3,97,17
"37",2022-01-02 12:00:00,35,13,3,64,3,90,15
"38",2022-01-02 13:00:00,42,17,NA,63,3,77,6
"39",2022-01-02 14:00:00,46,22,NA,62,3,67,7
"40",2022-01-02 15:00:00,28,25,NA,58,3,104,11
"41",2022-01-02 16:00:00,27,27,NA,54,3,28,10
"42",2022-01-02 17:00:00,30,30,NA,43,3,25,9
"43",2022-01-02 18:00:00,29,32,NA,31,3,4,11
"44",2022-01-02 19:00:00,22,32,2,23,3,119,9
"45",2022-01-02 20:00:00,19,30,3,22,3,94,4
"46",2022-01-02 21:00:00,8,26,8,26,3,86,4
"47",2022-01-02 22:00:00,10,22,6,28,3,85,2
"48",2022-01-02 23:00:00,9,19,7,31,3,74,64
"49",2022-01-03 00:00:00,10,17,5,33,3,63,64
"50",2022-01-03 01:00:00,17,16,2,34,3,54,61
"51",2022-01-03 02:00:00,10,13,4,34,3,30,61
"52",2022-01-03 03:00:00,11,12,5,33,3,45,2
"53",2022-01-03 04:00:00,18,12,1,31,3,12,59
"54",2022-01-03 05:00:00,17,13,60,27,3,30,64
"55",2022-01-03 06:00:00,10,13,3,25,3,53,2
"56",2022-01-03 07:00:00,11,13,4,23,3,57,4
"57",2022-01-03 08:00:00,9,13,6,24,3,57,64
"58",2022-01-03 09:00:00,21,13,60,25,3,58,61
"59",2022-01-03 10:00:00,28,16,NA,24,3,53,34
"60",2022-01-03 11:00:00,28,18,NA,25,3,52,34
"61",2022-01-03 12:00:00,35,20,NA,26,3,56,61
"62",2022-01-03 13:00:00,38,23,NA,27,3,49,61
"63",2022-01-03 14:00:00,37,26,NA,26,3,54,64
"64",2022-01-03 15:00:00,36,29,NA,25,3,52,2
"65",2022-01-03 16:00:00,34,32,NA,21,3,53,64
"66",2022-01-03 17:00:00,32,34,NA,20,3,54,64
"67",2022-01-03 18:00:00,28,34,1,21,3,58,2
"68",2022-01-03 19:00:00,21,33,6,23,3,75,10
"69",2022-01-03 20:00:00,7,29,15,28,3,103,13
"70",2022-01-03 21:00:00,7,25,12,31,3,124,20
"71",2022-01-03 22:00:00,4,21,12,34,3,113,21
"72",2022-01-03 23:00:00,3,17,12,38,3,98,19
"73",2022-01-04 00:00:00,NA,15,NA,41,3,98,19
"74",2022-01-04 01:00:00,4,11,10,43,3,79,16
"75",2022-01-04 02:00:00,3,7,10,45,3,66,10
"76",2022-01-04 03:00:00,2,4,7,45,3,67,6
"77",2022-01-04 04:00:00,1,3,9,42,3,70,10
"78",2022-01-04 05:00:00,1,3,8,40,3,68,7
"79",2022-01-04 06:00:00,2,2,10,37,3,64,5
"80",2022-01-04 07:00:00,1,2,12,38,3,61,5
"81",2022-01-04 08:00:00,2,2,13,46,3,78,4
"82",2022-01-04 09:00:00,3,2,16,60,3,71,59
"83",2022-01-04 10:00:00,5,2,30,84,3,105,8
"84",2022-01-04 11:00:00,26,5,16,91,3,122,16
"85",2022-01-04 12:00:00,43,10,5,92,3,99,15
"86",2022-01-04 13:00:00,42,16,4,93,3,89,13
"87",2022-01-04 14:00:00,45,21,NA,92,3,77,7
"88",2022-01-04 15:00:00,47,27,1,90,3,70,4
"89",2022-01-04 16:00:00,54,33,2,81,3,67,3
"90",2022-01-04 17:00:00,43,38,3,68,3,75,9
"91",2022-01-04 18:00:00,36,42,4,43,3,76,9
"92",2022-01-04 19:00:00,25,42,15,39,3,76,10
"93",2022-01-04 20:00:00,14,38,20,45,3,83,13
"94",2022-01-04 21:00:00,2,33,24,57,3,116,18
"95",2022-01-04 22:00:00,4,28,15,64,3,122,24
"96",2022-01-04 23:00:00,1,22,16,73,3,120,25
"97",2022-01-05 00:00:00,7,17,13,77,3,115,19
"98",2022-01-05 01:00:00,4,12,16,82,3,109,18
"99",2022-01-05 02:00:00,2,7,15,85,3,101,18
"100",2022-01-05 03:00:00,9,5,7,81,3,87,13
"101",2022-01-05 04:00:00,2,4,12,74,3,74,11
"102",2022-01-05 05:00:00,1,4,14,62,3,68,7
"103",2022-01-05 06:00:00,6,4,10,56,3,69,10
"104",2022-01-05 07:00:00,2,4,13,53,3,69,9
"105",2022-01-05 08:00:00,1,3,13,60,3,97,11
"106",2022-01-05 09:00:00,2,3,19,80,3,113,4
"107",2022-01-05 10:00:00,5,4,34,104,3,10,14
"108",2022-01-05 11:00:00,33,7,17,111,3,133,20
"109",2022-01-05 12:00:00,47,12,8,113,3,108,18
"110",2022-01-05 13:00:00,53,19,5,114,4,89,13
"111",2022-01-05 14:00:00,57,25,2,113,4,79,9
"112",2022-01-05 15:00:00,57,32,1,109,4,80,11
"113",2022-01-05 16:00:00,54,39,2,99,4,78,11
"114",2022-01-05 17:00:00,56,45,3,74,4,78,13
"115",2022-01-05 18:00:00,51,51,6,48,4,85,15
"116",2022-01-05 19:00:00,33,51,15,46,4,92,18
"117",2022-01-05 20:00:00,18,47,21,50,4,101,18
"118",2022-01-05 21:00:00,3,41,29,63,4,113,25
"119",2022-01-05 22:00:00,1,34,27,80,4,4,33
"120",2022-01-05 23:00:00,12,29,19,88,4,19,39
"121",2022-01-06 00:00:00,5,22,24,94,4,6,35
"122",2022-01-06 01:00:00,3,16,23,98,4,127,31
"123",2022-01-06 02:00:00,6,10,19,100,4,112,28
"124",2022-01-06 03:00:00,7,7,16,97,4,103,26
"125",2022-01-06 04:00:00,2,5,17,91,4,93,22
"126",2022-01-06 05:00:00,1,5,16,79,4,88,22
"127",2022-01-06 06:00:00,1,5,16,66,4,88,22
"128",2022-01-06 07:00:00,1,3,18,68,4,99,27
"129",2022-01-06 08:00:00,1,3,18,73,4,110,29
"130",2022-01-06 09:00:00,2,3,24,94,4,122,28
"131",2022-01-06 10:00:00,6,3,35,115,4,15,40
"132",2022-01-06 11:00:00,22,5,26,124,4,3,36
"133",2022-01-06 12:00:00,48,10,11,126,4,123,28
"134",2022-01-06 13:00:00,58,17,6,127,4,101,20
"135",2022-01-06 14:00:00,61,25,2,125,4,92,14
"136",2022-01-06 15:00:00,53,31,1,116,4,86,16
"137",2022-01-06 16:00:00,51,38,1,103,4,78,11
"138",2022-01-06 17:00:00,51,44,3,79,4,77,13
"139",2022-01-06 18:00:00,48,49,6,57,4,78,14
"140",2022-01-06 19:00:00,35,51,13,50,4,78,15
"141",2022-01-06 20:00:00,23,48,18,51,4,90,16
"142",2022-01-06 21:00:00,25,43,9,49,4,92,17
"143",2022-01-06 22:00:00,21,38,10,49,4,86,10
"144",2022-01-06 23:00:00,30,36,4,48,4,99,15
"145",2022-01-07 00:00:00,27,33,1,46,4,91,8
"146",2022-01-07 01:00:00,34,30,NA,43,4,64,2
"147",2022-01-07 02:00:00,33,29,NA,39,4,45,2
"148",2022-01-07 03:00:00,25,27,2,33,4,39,3
"149",2022-01-07 04:00:00,15,26,5,25,4,52,3
"150",2022-01-07 05:00:00,14,25,3,23,4,52,4
"151",2022-01-07 06:00:00,5,23,7,21,4,52,4
"152",2022-01-07 07:00:00,1,19,10,27,4,59,9
"153",2022-01-07 08:00:00,1,16,10,42,4,72,14
"154",2022-01-07 09:00:00,3,12,11,55,4,76,10
"155",2022-01-07 10:00:00,17,10,8,59,4,63,2
"156",2022-01-07 11:00:00,31,11,2,60,4,45,2
"157",2022-01-07 12:00:00,32,13,6,63,4,52,3
"158",2022-01-07 13:00:00,40,16,6,66,4,57,3
"159",2022-01-07 14:00:00,45,21,1,67,3,58,6
"160",2022-01-07 15:00:00,44,27,NA,61,3,59,7
"161",2022-01-07 16:00:00,42,32,1,47,3,59,4
"162",2022-01-07 17:00:00,40,36,2,37,3,61,8
"163",2022-01-07 18:00:00,33,38,5,35,3,60,8
"164",2022-01-07 19:00:00,31,38,4,37,3,72,11
"165",2022-01-07 20:00:00,22,37,8,38,3,88,19
"166",2022-01-07 21:00:00,16,34,10,38,3,92,21
"167",2022-01-07 22:00:00,7,29,16,40,3,89,21
"168",2022-01-07 23:00:00,13,26,11,42,3,85,20
"169",2022-01-08 00:00:00,8,21,12,44,3,86,21
"170",2022-01-08 01:00:00,4,17,14,45,3,89,30
"171",2022-01-08 02:00:00,12,14,7,44,3,79,28
"172",2022-01-08 03:00:00,15,12,4,40,3,64,16
"173",2022-01-08 04:00:00,5,10,11,37,3,59,10
"174",2022-01-08 05:00:00,7,9,8,34,3,59,10
"175",2022-01-08 06:00:00,4,9,8,31,3,60,10
"176",2022-01-08 07:00:00,4,7,10,30,3,61,8
"177",2022-01-08 08:00:00,1,7,11,33,3,63,11
"178",2022-01-08 09:00:00,6,7,12,40,3,77,9
"179",2022-01-08 10:00:00,14,7,14,48,3,94,19
