"","Fecha_Hora","O3_Horario","O3_8H","NO2","CO_8H","SO2_24H","PM_10","PM_2.5"
"1",2022-01-01 00:00:00,5,19,NA,317,NA,NA,NA
"2",2022-01-01 01:00:00,7,13,NA,NA,NA,NA,NA
"3",2022-01-01 02:00:00,2,7,NA,NA,NA,NA,NA
"4",2022-01-01 03:00:00,3,4,NA,NA,NA,NA,NA
"5",2022-01-01 04:00:00,3,3,NA,NA,NA,NA,NA
"6",2022-01-01 05:00:00,1,3,NA,NA,NA,NA,NA
"7",2022-01-01 06:00:00,2,3,NA,NA,NA,NA,NA
"8",2022-01-01 07:00:00,3,3,NA,NA,NA,NA,NA
"9",2022-01-01 08:00:00,4,3,NA,NA,NA,NA,NA
"10",2022-01-01 09:00:00,8,3,NA,NA,NA,NA,NA
"11",2022-01-01 10:00:00,23,6,NA,NA,NA,NA,NA
"12",2022-01-01 11:00:00,38,10,NA,NA,NA,NA,NA
"13",2022-01-01 12:00:00,54,17,NA,NA,NA,NA,NA
"14",2022-01-01 13:00:00,68,25,NA,NA,NA,NA,NA
"15",2022-01-01 14:00:00,76,34,NA,348,NA,NA,NA
"16",2022-01-01 15:00:00,65,42,NA,341,NA,NA,NA
"17",2022-01-01 16:00:00,66,50,NA,336,NA,NA,NA
"18",2022-01-01 17:00:00,57,56,NA,322,NA,NA,NA
"19",2022-01-01 18:00:00,47,59,NA,310,NA,NA,NA
"20",2022-01-01 19:00:00,35,59,NA,302,NA,NA,NA
"21",2022-01-01 20:00:00,12,53,NA,300,NA,NA,NA
"22",2022-01-01 21:00:00,2,45,NA,304,NA,NA,NA
"23",2022-01-01 22:00:00,2,36,NA,303,NA,NA,NA
"24",2022-01-01 23:00:00,2,28,NA,303,NA,NA,NA
"25",2022-01-02 00:00:00,2,20,NA,NA,NA,NA,NA
"26",2022-01-02 01:00:00,1,13,NA,NA,NA,NA,NA
"27",2022-01-02 02:00:00,2,7,NA,NA,NA,NA,NA
"28",2022-01-02 03:00:00,5,4,NA,NA,NA,NA,NA
"29",2022-01-02 04:00:00,7,3,NA,NA,NA,NA,NA
"30",2022-01-02 05:00:00,NA,3,NA,NA,NA,NA,NA
"31",2022-01-02 06:00:00,NA,3,NA,NA,NA,NA,NA
"32",2022-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA
"33",2022-01-02 08:00:00,NA,NA,NA,NA,NA,NA,NA
"34",2022-01-02 09:00:00,NA,NA,NA,NA,NA,NA,NA
"35",2022-01-02 10:00:00,NA,NA,NA,NA,NA,NA,NA
"36",2022-01-02 11:00:00,NA,NA,NA,NA,NA,NA,NA
"37",2022-01-02 12:00:00,NA,NA,NA,NA,NA,NA,NA
"38",2022-01-02 13:00:00,NA,NA,NA,NA,NA,NA,NA
"39",2022-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA
"40",2022-01-02 15:00:00,NA,NA,NA,NA,NA,NA,NA
"41",2022-01-02 16:00:00,NA,NA,NA,NA,NA,NA,NA
"42",2022-01-02 17:00:00,NA,NA,NA,NA,NA,NA,NA
"43",2022-01-02 18:00:00,NA,NA,NA,NA,NA,NA,NA
"44",2022-01-02 19:00:00,20,NA,NA,NA,NA,NA,NA
"45",2022-01-02 20:00:00,17,NA,NA,NA,NA,NA,NA
"46",2022-01-02 21:00:00,20,NA,NA,NA,NA,NA,NA
"47",2022-01-02 22:00:00,22,NA,NA,NA,NA,NA,NA
"48",2022-01-02 23:00:00,24,NA,NA,NA,NA,NA,NA
"49",2022-01-03 00:00:00,23,21,NA,301,NA,NA,NA
"50",2022-01-03 01:00:00,23,21,NA,299,NA,NA,NA
"51",2022-01-03 02:00:00,21,21,NA,298,NA,NA,NA
